sdg_labels,term,tfidf_score
SDG8_labor,hire,0.05239591866079608
SDG8_labor,indicator,0.05239591866079608
SDG8_labor,safety health,0.05239591866079608
SDG9_innovation,patent,0.4088043064040982
SDG9_innovation,trade_secret,0.16449634437883695
SDG9_innovation,patent application,0.13011743220313302
SDG9_innovation,intelligent,0.1221103772375878
SDG9_innovation,property,0.10618293672833722
SDG9_innovation,intellectual,0.10087378989192035
SDG9_innovation,intellectual property,0.09025549621908663
SDG9_innovation,registration,0.08812304163151978
SDG9_innovation,em9305,0.08283706410172358
SDG9_innovation,trade_secret registration,0.08283706410172358
SDG9_innovation,technology leadership,0.07819479402017677
SDG9_innovation,veteran,0.07363294586819874
SDG9_innovation,grant,0.07319105561426233
SDG9_innovation,tcia,0.06442882763467389
SDG9_innovation,deliver,0.06370976203700232
SDG9_innovation,ranking,0.06351528795836624
SDG9_innovation,good improvement,0.06351528795836624
SDG9_innovation,innovation award,0.06351528795836624
SDG9_innovation,sdg,0.05840061520058546
SDG9_innovation,advanced process,0.05309146836416861
SDG9_innovation,patent grant,0.05292940663197186
SDG9_innovation,oip,0.05287382497891187
SDG9_innovation,intelligence,0.04778232152775175
SDG9_innovation,lab,0.04699895553681055
SDG9_innovation,packaging technology,0.04699895553681055
SDG9_innovation,tip,0.04699895553681055
SDG9_innovation,bluetooth,0.04602059116762421
SDG9_innovation,patient,0.04602059116762421
SDG9_innovation,intelligent management,0.04561362984510312
SDG9_innovation,maintain technology,0.04561362984510312
